atomic_number,species_name,ion_charge,isoelectonic_sequence,ground_shells,ground_configuration,ground_level,ionized_level,ionization_energy,uncertainty,references,is_semi_empirical,is_theoretical
"93",Np V,"4",Ac,[Rn].5f3,5f3.6p6,4I*<9/2>,5f2.6p6 3H<4>,48,1.9,L8672c99,"0","1"
"93",Np VI,"5",Ra,[Rn].5f2,5f2.6p6,3H<4>,5f.6p6 2F*<5/2>,65,2,L8672c99,"0","1"
"93",Np VII,"6",Fr,[Rn].5f,5f.6p6,2F*<5/2>,5f.6p5,92,5,L582,"0","1"
"93",Np VIII,"7",Rn,[Hg].5f.6p5,5f.6p5,,5f.6p4*,107,5,L582,"0","1"
"93",Np IX,"8",At,[Hg].5f.6p4,5f.6p4,*,5f.6p3,121,6,L582,"0","1"
"93",Np X,"9",Po,[Hg].5f.6p3,5f.6p3,,5f.6p2*,136,7,L582,"0","1"
"93",Np XI,"10",Bi,[Hg].5f.6p2,5f.6p2,*,6p2 3P<0>,151,8,L582,"0","1"
"93",Np XII,"11",Pb,[Hg].6p2,6p2,3P0,6p 2P*<1/2>,179,2.5,L8672c99,"0","1"
"93",Np XIII,"12",Tl,[Hg].6p,6p,2P*<1/2>,6s2 1S<0>,196,3,L8672c99,"0","1"
"93",Np XIV,"13",Hg,[Xe].4f14.5d10.6s2,6s2,1S0,6s 2S<1/2>,233,3,L8672c99,"0","1"
"93",Np XV,"14",Au,[Xe].4f14.5d10.6s,6s,2S<1/2>,5d10 1S<0>,252,3,L8672c99,"0","1"
"93",Np XVI,"15",Pt,[Xe].4f14.5d10,"5d10",1S0,5d9 2D<5/2>,355,3,L8672c99,"0","1"
"93",Np XVII,"16",Ir,[Xe].4f14.5d9,"5d9",2D<5/2>,5d8 3F<4>,382,3,L8672c99,"0","1"
"93",Np XVIII,"17",Os,[Xe].4f14.5d8,"5d8",3F<4>,5d7 4F<9/2>,408,3,L8672c99,"0","1"
"93",Np XIX,"18",Re,[Xe].4f14.5d7,"5d7",4F<9/2>,5d6 5D<4>,438,3,L8672c99,"0","1"
"93",Np XX,"19",W,[Xe].4f14.5d6,"5d6",5D<4>,5d5 6S<5/2>,466,4,L8672c99,"0","1"
"93",Np XXI,"20",Ta,[Xe].4f14.5d5,"5d5",6S<5/2>,5d4 5D<0>,495,4,L8672c99,"0","1"
"93",Np XXII,"21",Hf,[Xe].4f14.5d4,"5d4","5D0",5d3 4F<3/2>,535,4,L8672c99,"0","1"
"93",Np XXIII,"22",Lu,[Xe].4f14.5d3,"5d3",4F<3/2>,5d2 3F<2>,565,4,L8672c99,"0","1"
"93",Np XXIV,"23",Yb,[Xe].4f14.5d2,"5d2",3F<2>,5d 2D<3/2>,596,4,L8672c99,"0","1"
"93",Np XXV,"24",Tm,[Xe].4f14.5d,5d,2D<3/2>,4f14 1S<0>,626,4,L8672c99,"0","1"
"93",Np XXVI,"25",Er,[Xe].4f14,4f14,1S0,4f14.5p5 2P*<3/2>,770,40,L582,"0","1"
"93",Np XXVII,"26",Ho,[Cd].4f14.5p5,4f14.5p5,2P*<3/2>,4f14.5p4 3P<2>,810,40,L582,"0","1"
"93",Np XXVIII,"27",Dy,[Cd].4f14.5p4,4f14.5p4,3P<2>,4f14.5p3 2P*<3/2>,850,40,L582,"0","1"
"93",Np XXIX,"28",Tb,[Cd].4f14.5p3,4f14.5p3,2P*<3/2>,4f14.5p2 3P<0>,880,40,L582,"0","1"
"93",Np XXX,"29",Gd,[Cd].4f14.5p2,4f14.5p2,3P0,4f14.5p 2P*<1/2>,980,50,L582,"0","1"
"93",Np XXXI,"30",Eu,[Cd].4f14.5p,4f14.5p,2P*<1/2>,4f14 1S<0>,1020,50,L582,"0","1"
"93",Np XXXII,"31",Sm,[Cd].4f14,4f14,1S0,4f14.5s 2S<1/2>,1130,60,L582,"0","1"
"93",Np XXXIII,"32",Pm,[Kr].4d10.4f14.5s,4f14.5s,2S<1/2>,4f14 1S<0>,1170,60,L582,"0","1"
"93",Np XXXIV,"33",Nd,[Kr].4d10.4f14,4f14,1S0,4f13 2F*<7/2>,1280,60,L582,"0","1"
"93",Np XXXV,"34",Pr,[Kr].4d10.4f13,4f13,2F*<7/2>,4f12,1360,70,L582,"0","1"
"93",Np XXXVI,"35",Ce,[Kr].4d10.4f12,4f12,,4f11 4I*<15/2>,1430,70,L582,"0","1"
"93",Np XXXVII,"36",La,[Kr].4d10.4f11,4f11,4I*<15/2>,4f10 5I<8>,1510,70,L582,"0","1"
"93",Np XXXVIII,"37",Ba,[Kr].4d10.4f10,4f10,5I<8>,4f9 6H*<15/2>,1590,80,L582,"0","1"
"93",Np XXXIX,"38",Cs,[Kr].4d10.4f9,4f9,6H*<15/2>,4f8 7F<6>,1670,80,L582,"0","1"
"93",Np XL,"39",Xe,[Kr].4d10.4f8,4f8,7F<6>,4f7 8S*<7/2>,1740,90,L582,"0","1"
"93",Np XLI,"40",I,[Kr].4d10.4f7,4f7,8S*<7/2>,4f6 7F<0>,1820,90,L582,"0","1"
"93",Np XLII,"41",Te,[Kr].4d10.4f6,4f6,7F0,4f5 6H*<5/2>,1910,100,L582,"0","1"
"93",Np XLIII,"42",Sb,[Kr].4d10.4f5,4f5,6H*<5/2>,4f4 5I<4>,1990,100,L582,"0","1"
"93",Np XLIV,"43",Sn,[Kr].4d10.4f4,4f4,5I<4>,4f3 4I*<9/2>,2070,100,L582,"0","1"
"93",Np XLV,"44",In,[Kr].4d10.4f3,4f3,4I*<9/2>,4f2 3H<4>,2140,110,L582,"0","1"
"93",Np XLVI,"45",Cd,[Kr].4d10.4f2,4f2,3H<4>,4f 2F*<5/2>,2230,110,L582,"0","1"
"93",Np XLVII,"46",Ag,[Kr].4d10.4f,4f,2F*<5/2>,4d10 1S<0>,2310,110,L582,"0","1"
"93",Np XLVIII,"47",Pd,[Kr].4d10,"4d10",1S0,4d9 2D<5/2>,2675,4,L8672c99,"0","1"
"93",Np XLIX,"48",Rh,[Kr].4d9,"4d9",2D<5/2>,4d8 3F<4>,2745,4,L8672c99,"0","1"
"93",Np L,"49",Ru,[Kr].4d8,"4d8",3F<4>,4d7 4F<9/2>,2817,4,L8672c99,"0","1"
"93",Np LI,"50",Tc,[Kr].4d7,"4d7",4F<9/2>,4d6 5D<4>,2894,4,L8672c99,"0","1"
"93",Np LII,"51",Mo,[Kr].4d6,"4d6",5D<4>,4d5 <5/2>,2969,4,L8672c99,"0","1"
"93",Np LIII,"52",Nb,[Kr].4d5,"4d5",<5/2>,4d4 5D<0>,3041,4,L8672c99,"0","1"
"93",Np LIV,"53",Zr,[Kr].4d4,"4d4","5D0",4d3 4F<3/2>,3181,5,L8672c99,"0","1"
"93",Np LV,"54",Y,[Kr].4d3,"4d3",4F<3/2>,4d2 3F<2>,3255,5,L8672c99,"0","1"
"93",Np LVI,"55",Sr,[Kr].4d2,"4d2",3F<2>,4d 2D<3/2>,3338,5,L8672c99,"0","1"
"93",Np LVII,"56",Rb,[Kr].4d,4d,2D<3/2>,4p6 1S<0>,3413,5,L8672c99,"0","1"
"93",Np LVIII,"57",Kr,[Ar].3d10.4s2.4p6,4p6,1S0,4p5 2P*<3/2>,3718,6,L8672c99,"0","1"
"93",Np LIX,"58",Br,[Ar].3d10.4s2.4p5,4p5,2P*<3/2>,4p4 3P<2>,3792,6,L8672c99,"0","1"
"93",Np LX,"59",Se,[Ar].3d10.4s2.4p4,4p4,3P<2>,4p3*<3/2>,3872,7,L8672c99,"0","1"
"93",Np LXI,"60",As,[Ar].3d10.4s2.4p3,4p3,*<3/2>,4p2 3P<0>,3947,10,L8672c99,"0","1"
"93",Np LXII,"61",Ge,[Ar].3d10.4s2.4p2,4p2,3P0,4p 2P*<1/2>,4353,12,L8672c99,"0","1"
"93",Np LXIII,"62",Ga,[Ar].3d10.4s2.4p,4p,2P*<1/2>,4s2 1S<0>,4441,15,L8672c99,"0","1"
"93",Np LXIV,"63",Zn,[Ar].3d10.4s2,4s2,1S0,4s 2S<1/2>,4658,19,L8672c99,"0","1"
"93",Np LXV,"64",Cu,[Ar].3d10.4s,4s,2S<1/2>,3d10 1S<0>,4744,24,L8672c99,"0","1"
"93",Np LXVI,"65",Ni,[Ar].3d10,"3d10",1S0,3d9 2D<5/2>,7610,30,L8672c99,"0","1"
"93",Np LXVII,"66",Co,[Ar].3d9,"3d9",2D<5/2>,3d8 3F<4>,7770,40,L8672c99,"0","1"
"93",Np LXVIII,"67",Fe,[Ar].3d8,"3d8",3F<4>,3d7 4F<9/2>,7950,40,L8672c99,"0","1"
"93",Np LXIX,"68",Mn,[Ar].3d7,"3d7",4F<9/2>,3d6 <4>,8130,50,L8672c99,"0","1"
"93",Np LXX,"69",Cr,[Ar].3d6,"3d6",<4>,3d5 <5/2>,8310,50,L8672c99,"0","1"
"93",Np LXXI,"70",V,[Ar].3d5,"3d5",<5/2>,3d4 5D<0>,8480,60,L8672c99,"0","1"
"93",Np LXXII,"71",Ti,[Ar].3d4,"3d4","5D0",3d3 4F<3/2>,8890,60,L8672c99,"0","1"
"93",Np LXXIII,"72",Sc,[Ar].3d3,"3d3",4F<3/2>,3d2 3F<2>,9070,70,L8672c99,"0","1"
"93",Np LXXIV,"73",Ca,[Ar].3d2,"3d2",3F<2>,3d 2D<3/2>,9270,90,L8672c99,"0","1"
"93",Np LXXV,"74",K,[Ar].3d,3d,2D<3/2>,3p6 1S<0>,9450,90,L8672c99,"0","1"
"93",Np LXXVI,"75",Ar,[Ne].3s2.3p6,3p6,1S0,3p5 2P*<3/2>,9970,100,L8672c99,"0","1"
"93",Np LXXVII,"76",Cl,[Ne].3s2.3p5,3p5,2P*<3/2>,3p4 3P<2>,10130,110,L8672c99,"0","1"
"93",Np LXXVIII,"77",S,[Ne].3s2.3p4,3p4,3P<2>,3p3 2P*<3/2>,10300,120,L8672c99,"0","1"
"93",Np LXXIX,"78",P,[Ne].3s2.3p3,3p3,2P*<3/2>,3p2 3P<0>,10470,120,L8672c99,"0","1"
"93",Np LXXX,"79",Si,[Ne].3s2.3p2,3p2,3P0,3p 2P*<1/2>,11730,140,L8672c99,"0","1"
"93",Np LXXXI,"80",Al,[Ne].3s2.3p,3p,2P*<1/2>,3s2 1S<0>,11930,150,L8672c99,"0","1"
"93",Np LXXXII,"81",Mg,[Ne].3s2,3s2,1S0,3s 2S<1/2>,12320,160,L8672c99,"0","1"
"93",Np LXXXIII,"82",Na,[Ne].3s,3s,2S<1/2>,2p6 1S<0>,12500,170,L8672c99,"0","1"
"93",Np LXXXIV,"83",Ne,1s2.2s2.2p6,2p6,1S0,2p5 2P*<3/2>,25870,190,L8672c99,"0","1"
"93",Np LXXXV,"84",F,1s2.2s2.2p5,2p5,2P*<3/2>,2p4 3P<2>,26300,200,L8672c99,"0","1"
"93",Np LXXXVI,"85",O,1s2.2s2.2p4,2p4,3P<2>,"2p2<1/2>.2p<3/2> (0,3/2)*<3/2>",26770,220,L8672c99,"0","1"
"93",Np LXXXVII,"86",N,1s2.2s2.2p3,2p2<1/2>.2p<3/2>,"(0,3/2)*<3/2>",2p2 3P<0>,27210,240,L8672c99,"0","1"
"93",Np LXXXVIII,"87",C,1s2.2s2.2p2,2p2,3P0,2p 2P*<1/2>,31910,250,L8672c99,"0","1"
"93",Np LXXXIX,"88",B,1s2.2s2.2p,2p,2P*<1/2>,2s2 1S<0>,32500,300,L8672c99,"0","1"
"93",Np XC,"89",Be,1s2.2s2,2s2,1S0,2s 2S<1/2>,33300,300,L8672c99,"0","1"
"93",Np XCI,"90",Li,1s2.2s,2s,2S<1/2>,1s2 1S<0>,33722.2,0.7,L16264c99,"0","1"
"93",Np XCII,"91",He,1s2,1s2,1S0,1s 2S<1/2>,132911,3,L12128,"0","1"
"93",Np XCIII,"92",H,1s,1s,2S<1/2>,,135202,4,L19200,"0","1"
"94",Pu I,"0",Pu,[Rn].5f6.7s2,5f6.7s2,7F0,5f6.7s 8F<1/2>,6.02576,0.00025,"L15992,L11260","0","0"
"94",Pu II,"1",Np,[Rn].5f6.7s,5f6.7s,8F<1/2>,5f6 7F<0>,11.5,0.4,L13741c99,"1","0"
"94",Pu III,"2",U,[Rn].5f6,5f6,7F0,5f5 6H*<5/2>,21.1,0.4,L13741c99,"1","0"
"94",Pu IV,"3",Pa,[Rn].5f5,5f5,6H*<5/2>,5f4 5I<4>,35,0.4,L13741c99,"1","0"
"94",Pu V,"4",Th,[Rn].5f4,5f4,5I<4>,5f3.6p6 4I*<9/2>,49,1.9,L8672c99,"0","1"
"94",Pu VI,"5",Ac,[Rn].5f3,5f3.6p6,4I*<9/2>,5f3.6p5,80,4,L582,"0","1"
"94",Pu VII,"6",Ra,[Hg].5f3.6p5,5f3.6p5,,5f3.6p4*,95,5,L582,"0","1"
"94",Pu VIII,"7",Fr,[Hg].5f3.6p4,5f3.6p4,*,5f3.6p3,109,5,L582,"0","1"
"94",Pu IX,"8",Rn,[Hg].5f3.6p3,5f3.6p3,,5f3.6p2*,124,6,L582,"0","1"
"94",Pu X,"9",At,[Hg].5f3.6p2,5f3.6p2,*,5f2.6p2,139,7,L582,"0","1"
"94",Pu XI,"10",Po,[Hg].5f2.6p2,5f2.6p2,,5f.6p2*,159,8,L582,"0","1"
"94",Pu XII,"11",Bi,[Hg].5f.6p2,5f.6p2,*,6p2 3P<0>,179,9,L582,"0","1"
"94",Pu XIII,"12",Pb,[Hg].6p2,6p2,3P0,6p 2P*<1/2>,200,3,L8672c99,"0","1"
"94",Pu XIV,"13",Tl,[Hg].6p,6p,2P*<1/2>,6s2 1S<0>,219,3,L8672c99,"0","1"
"94",Pu XV,"14",Hg,[Xe].4f14.5d10.6s2,6s2,1S0,6s 2S<1/2>,258,3,L8672c99,"0","1"
"94",Pu XVI,"15",Au,[Xe].4f14.5d10.6s,6s,2S<1/2>,5d10 1S<0>,278,3,L8672c99,"0","1"
"94",Pu XVII,"16",Pt,[Xe].4f14.5d10,"5d10",1S0,5d9 2D<5/2>,389,3,L8672c99,"0","1"
"94",Pu XVIII,"17",Ir,[Xe].4f14.5d9,"5d9",2D<5/2>,5d8 3F<4>,416,3,L8672c99,"0","1"
"94",Pu XIX,"18",Os,[Xe].4f14.5d8,"5d8",3F<4>,5d7 4F<9/2>,444,3,L8672c99,"0","1"
"94",Pu XX,"19",Re,[Xe].4f14.5d7,"5d7",4F<9/2>,5d6 5D<4>,474,4,L8672c99,"0","1"
"94",Pu XXI,"20",W,[Xe].4f14.5d6,"5d6",5D<4>,5d5 6S<5/2>,503,4,L8672c99,"0","1"
"94",Pu XXII,"21",Ta,[Xe].4f14.5d5,"5d5",6S<5/2>,5d4 5D<0>,532,4,L8672c99,"0","1"
"94",Pu XXIII,"22",Hf,[Xe].4f14.5d4,"5d4","5D0",5d3 4F<3/2>,575,4,L8672c99,"0","1"
"94",Pu XXIV,"23",Lu,[Xe].4f14.5d3,"5d3",4F<3/2>,5d2 3F<2>,605,4,L8672c99,"0","1"
"94",Pu XXV,"24",Yb,[Xe].4f14.5d2,"5d2",3F<2>,5d 2D<3/2>,637,4,L8672c99,"0","1"
"94",Pu XXVI,"25",Tm,[Xe].4f14.5d,5d,2D<3/2>,4f14 1S<0>,668,4,L8672c99,"0","1"
"94",Pu XXVII,"26",Er,[Xe].4f14,4f14,1S0,4f14.5p5 2P*<3/2>,820,40,L582,"0","1"
"94",Pu XXVIII,"27",Ho,[Cd].4f14.5p5,4f14.5p5,2P*<3/2>,4f14.5p4 3P<2>,850,40,L582,"0","1"
"94",Pu XXIX,"28",Dy,[Cd].4f14.5p4,4f14.5p4,3P<2>,4f14.5p3 2P*<3/2>,890,40,L582,"0","1"
"94",Pu XXX,"29",Tb,[Cd].4f14.5p3,4f14.5p3,2P*<3/2>,4f14.5p2 3P<0>,930,50,L582,"0","1"
"94",Pu XXXI,"30",Gd,[Cd].4f14.5p2,4f14.5p2,3P0,4f14.5p 2P*<1/2>,1030,50,L582,"0","1"
"94",Pu XXXII,"31",Eu,[Cd].4f14.5p,4f14.5p,2P*<1/2>,4f14 1S<0>,1070,50,L582,"0","1"
"94",Pu XXXIII,"32",Sm,[Cd].4f14,4f14,1S0,4f14.5s 2S<1/2>,1180,60,L582,"0","1"
"94",Pu XXXIV,"33",Pm,[Kr].4d10.4f14.5s,4f14.5s,2S<1/2>,4f14 1S<0>,1220,60,L582,"0","1"
"94",Pu XXXV,"34",Nd,[Kr].4d10.4f14,4f14,1S0,4f13 2F*<7/2>,1340,70,L582,"0","1"
"94",Pu XXXVI,"35",Pr,[Kr].4d10.4f13,4f13,2F*<7/2>,4f12,1420,70,L582,"0","1"
"94",Pu XXXVII,"36",Ce,[Kr].4d10.4f12,4f12,,4f11 4I*<15/2>,1500,70,L582,"0","1"
"94",Pu XXXVIII,"37",La,[Kr].4d10.4f11,4f11,4I*<15/2>,4f10 5I<8>,1580,70,L582,"0","1"
"94",Pu XXXIX,"38",Ba,[Kr].4d10.4f10,4f10,5I<8>,4f9 6H*<15/2>,1660,80,L582,"0","1"
"94",Pu XL,"39",Cs,[Kr].4d10.4f9,4f9,6H*<15/2>,4f8 7F<6>,1740,90,L582,"0","1"
"94",Pu XLI,"40",Xe,[Kr].4d10.4f8,4f8,7F<6>,4f7 8S*<7/2>,1820,90,L582,"0","1"
"94",Pu XLII,"41",I,[Kr].4d10.4f7,4f7,8S*<7/2>,4f6 7F<0>,1890,90,L582,"0","1"
"94",Pu XLIII,"42",Te,[Kr].4d10.4f6,4f6,7F0,4f5 6H*<5/2>,1990,100,L582,"0","1"
"94",Pu XLIV,"43",Sb,[Kr].4d10.4f5,4f5,6H*<5/2>,4f4 5I<4>,2070,100,L582,"0","1"
"94",Pu XLV,"44",Sn,[Kr].4d10.4f4,4f4,5I<4>,4f3 4I*<9/2>,2150,110,L582,"0","1"
"94",Pu XLVI,"45",In,[Kr].4d10.4f3,4f3,4I*<9/2>,4f2 3H<4>,2230,110,L582,"0","1"
"94",Pu XLVII,"46",Cd,[Kr].4d10.4f2,4f2,3H<4>,4f 2F*<5/2>,2310,110,L582,"0","1"
"94",Pu XLVIII,"47",Ag,[Kr].4d10.4f,4f,2F*<5/2>,4d10 1S<0>,2390,120,L582,"0","1"
"94",Pu XLIX,"48",Pd,[Kr].4d10,"4d10",1S0,4d9 2D<5/2>,2774,4,L8672c99,"0","1"
"94",Pu L,"49",Rh,[Kr].4d9,"4d9",2D<5/2>,4d8 3F<4>,2844,4,L8672c99,"0","1"
"94",Pu LI,"50",Ru,[Kr].4d8,"4d8",3F<4>,4d7 4F<9/2>,2918,4,L8672c99,"0","1"
"94",Pu LII,"51",Tc,[Kr].4d7,"4d7",4F<9/2>,4d6 5D<4>,2997,4,L8672c99,"0","1"
"94",Pu LIII,"52",Mo,[Kr].4d6,"4d6",5D<4>,4d5 <5/2>,3072,4,L8672c99,"0","1"
"94",Pu LIV,"53",Nb,[Kr].4d5,"4d5",<5/2>,4d4 5D<0>,3146,5,L8672c99,"0","1"
"94",Pu LV,"54",Zr,[Kr].4d4,"4d4","5D0",4d3 4F<3/2>,3290,5,L8672c99,"0","1"
"94",Pu LVI,"55",Y,[Kr].4d3,"4d3",4F<3/2>,4d2 3F<2>,3366,5,L8672c99,"0","1"
"94",Pu LVII,"56",Sr,[Kr].4d2,"4d2",3F<2>,4d 2D<3/2>,3449,5,L8672c99,"0","1"
"94",Pu LVIII,"57",Rb,[Kr].4d,4d,2D<3/2>,4p6 1S<0>,3527,6,L8672c99,"0","1"
"94",Pu LIX,"58",Kr,[Ar].3d10.4s2.4p6,4p6,1S0,4p5 2P*<3/2>,3836,6,L8672c99,"0","1"
"94",Pu LX,"59",Br,[Ar].3d10.4s2.4p5,4p5,2P*<3/2>,4p4 3P<2>,3911,7,L8672c99,"0","1"
"94",Pu LXI,"60",Se,[Ar].3d10.4s2.4p4,4p4,3P<2>,4p3*<3/2>,3993,10,L8672c99,"0","1"
"94",Pu LXII,"61",As,[Ar].3d10.4s2.4p3,4p3,*<3/2>,4p2 3P<0>,4068,12,L8672c99,"0","1"
"94",Pu LXIII,"62",Ge,[Ar].3d10.4s2.4p2,4p2,3P0,4p 2P*<1/2>,4496,15,L8672c99,"0","1"
"94",Pu LXIV,"63",Ga,[Ar].3d10.4s2.4p,4p,2P*<1/2>,4s2 1S<0>,4585,19,L8672c99,"0","1"
"94",Pu LXV,"64",Zn,[Ar].3d10.4s2,4s2,1S0,4s 2S<1/2>,4807,24,L8672c99,"0","1"
"94",Pu LXVI,"65",Cu,[Ar].3d10.4s,4s,2S<1/2>,3d10 1S<0>,4890,30,L8672c99,"0","1"
"94",Pu LXVII,"66",Ni,[Ar].3d10,"3d10",1S0,3d9 2D<5/2>,7830,40,L8672c99,"0","1"
"94",Pu LXVIII,"67",Co,[Ar].3d9,"3d9",2D<5/2>,3d8 3F<4>,7990,40,L8672c99,"0","1"
"94",Pu LXIX,"68",Fe,[Ar].3d8,"3d8",3F<4>,3d7 4F<9/2>,8170,50,L8672c99,"0","1"
"94",Pu LXX,"69",Mn,[Ar].3d7,"3d7",4F<9/2>,3d6 <4>,8360,50,L8672c99,"0","1"
"94",Pu LXXI,"70",Cr,[Ar].3d6,"3d6",<4>,3d5 <5/2>,8540,60,L8672c99,"0","1"
"94",Pu LXXII,"71",V,[Ar].3d5,"3d5",<5/2>,3d4 5D<0>,8710,60,L8672c99,"0","1"
"94",Pu LXXIII,"72",Ti,[Ar].3d4,"3d4","5D0",3d3 4F<3/2>,9130,70,L8672c99,"0","1"
"94",Pu LXXIV,"73",Sc,[Ar].3d3,"3d3",4F<3/2>,3d2 3F<2>,9310,90,L8672c99,"0","1"
"94",Pu LXXV,"74",Ca,[Ar].3d2,"3d2",3F<2>,3d 2D<3/2>,9520,90,L8672c99,"0","1"
"94",Pu LXXVI,"75",K,[Ar].3d,3d,2D<3/2>,3p6 1S<0>,9700,100,L8672c99,"0","1"
"94",Pu LXXVII,"76",Ar,[Ne].3s2.3p6,3p6,1S0,3p5 2P*<3/2>,10230,110,L8672c99,"0","1"
"94",Pu LXXVIII,"77",Cl,[Ne].3s2.3p5,3p5,2P*<3/2>,3p4 3P<2>,10390,120,L8672c99,"0","1"
"94",Pu LXXIX,"78",S,[Ne].3s2.3p4,3p4,3P<2>,3p3 2P*<3/2>,10570,120,L8672c99,"0","1"
"94",Pu LXXX,"79",P,[Ne].3s2.3p3,3p3,2P*<3/2>,3p2 3P<0>,10730,140,L8672c99,"0","1"
"94",Pu LXXXI,"80",Si,[Ne].3s2.3p2,3p2,3P0,3p 2P*<1/2>,12060,150,L8672c99,"0","1"
"94",Pu LXXXII,"81",Al,[Ne].3s2.3p,3p,2P*<1/2>,3s2 1S<0>,12260,160,L8672c99,"0","1"
"94",Pu LXXXIII,"82",Mg,[Ne].3s2,3s2,1S0,3s 2S<1/2>,12660,170,L8672c99,"0","1"
"94",Pu LXXXIV,"83",Na,[Ne].3s,3s,2S<1/2>,2p6 1S<0>,12840,190,L8672c99,"0","1"
"94",Pu LXXXV,"84",Ne,1s2.2s2.2p6,2p6,1S0,2p5 2P*<3/2>,26480,200,L8672c99,"0","1"
"94",Pu LXXXVI,"85",F,1s2.2s2.2p5,2p5,2P*<3/2>,2p4 3P<2>,26920,220,L8672c99,"0","1"
"94",Pu LXXXVII,"86",O,1s2.2s2.2p4,2p4,3P<2>,"2p2<1/2>.2p<3/2> (0,3/2)*<3/2>",27400,240,L8672c99,"0","1"
"94",Pu LXXXVIII,"87",N,1s2.2s2.2p3,2p2<1/2>.2p<3/2>,"(0,3/2)*<3/2>",2p2 3P<0>,27840,250,L8672c99,"0","1"
"94",Pu LXXXIX,"88",C,1s2.2s2.2p2,2p2,3P0,2p 2P*<1/2>,32800,300,L8672c99,"0","1"
"94",Pu XC,"89",B,1s2.2s2.2p,2p,2P*<1/2>,2s2 1S<0>,33400,300,L8672c99,"0","1"
"94",Pu XCI,"90",Be,1s2.2s2,2s2,1S0,2s 2S<1/2>,34100,300,L8672c99,"0","1"
"94",Pu XCII,"91",Li,1s2.2s,2s,2S<1/2>,1s2 1S<0>,34625.8,0.7,L16264c99,"0","1"
"94",Pu XCIII,"92",He,1s2,1s2,1S0,1s 2S<1/2>,136305.1,2.4,L12128,"0","1"
"94",Pu XCIV,"93",H,1s,1s,2S<1/2>,,138640.2,2.5,L19200,"0","1"
"95",Am I,"0",Am,[Rn].5f7.7s2,5f7.7s2,8S*<7/2>,5f7.7s 9S*<4>,5.97381,0.00025,L15992,"0","0"
"95",Am II,"1",Pu,[Rn].5f7.7s,5f7.7s,9S*<4>,5f7 8S*<7/2>,11.7,0.4,L13741c99,"1","0"
"95",Am III,"2",Np,[Rn].5f7,5f7,8S*<7/2>,5f6 7F<0>,21.7,0.4,L13741c99,"1","0"
"95",Am IV,"3",U,[Rn].5f6,5f6,7F0,5f5 6H*<5/2>,36.8,0.4,L13741c99,"1","0"
"95",Am V,"4",Pa,[Rn].5f5,5f5,6H*<5/2>,5f4 5I<4>,50,1.9,L8672c99,"0","1"
"95",Am VI,"5",Th,[Rn].5f4,5f4,5I<4>,5f3.6p6 4I*<9/2>,67.9,2,L8672c99,"0","1"
"95",Am VII,"6",Ac,[Rn].5f3,5f3.6p6,4I*<9/2>,5f3.6p5,95,5,L582,"0","1"
"95",Am VIII,"7",Ra,[Hg].5f3.6p5,5f3.6p5,,5f3.6p4*,110,6,L582,"0","1"
"95",Am IX,"8",Fr,[Hg].5f3.6p4,5f3.6p4,*,5f3.6p3,125,6,L582,"0","1"
"95",Am X,"9",Rn,[Hg].5f3.6p3,5f3.6p3,,5f3.6p2*,141,7,L582,"0","1"
"95",Am XI,"10",At,[Hg].5f3.6p2,5f3.6p2,*,5f2.6p2,163,8,L582,"0","1"
"95",Am XII,"11",Po,[Hg].5f2.6p2,5f2.6p2,,5f.6p2*,184,9,L582,"0","1"
"95",Am XIII,"12",Bi,[Hg].5f.6p2,5f.6p2,*,6p2 3P<0>,206,10,L582,"0","1"
"95",Am XIV,"13",Pb,[Hg].6p2,6p2,3P0,6p 2P*<1/2>,225,3,L8672c99,"0","1"
"95",Am XV,"14",Tl,[Hg].6p,6p,2P*<1/2>,6s2 1S<0>,242,3,L8672c99,"0","1"
"95",Am XVI,"15",Hg,[Xe].4f14.5d10.6s2,6s2,1S0,6s 2S<1/2>,284,3,L8672c99,"0","1"
"95",Am XVII,"16",Au,[Xe].4f14.5d10.6s,6s,2S<1/2>,5d10 1S<0>,305,3,L8672c99,"0","1"
"95",Am XVIII,"17",Pt,[Xe].4f14.5d10,"5d10",1S0,5d9 2D<5/2>,424,3,L8672c99,"0","1"
"95",Am XIX,"18",Ir,[Xe].4f14.5d9,"5d9",2D<5/2>,5d8 3F<4>,451,3,L8672c99,"0","1"
"95",Am XX,"19",Os,[Xe].4f14.5d8,"5d8",3F<4>,5d7 4F<9/2>,481,4,L8672c99,"0","1"
"95",Am XXI,"20",Re,[Xe].4f14.5d7,"5d7",4F<9/2>,5d6 5D<4>,511,4,L8672c99,"0","1"
"95",Am XXII,"21",W,[Xe].4f14.5d6,"5d6",5D<4>,5d5 6S<5/2>,541,4,L8672c99,"0","1"
"95",Am XXIII,"22",Ta,[Xe].4f14.5d5,"5d5",6S<5/2>,5d4 5D<0>,571,4,L8672c99,"0","1"
"95",Am XXIV,"23",Hf,[Xe].4f14.5d4,"5d4","5D0",5d3 4F<3/2>,616,4,L8672c99,"0","1"
"95",Am XXV,"24",Lu,[Xe].4f14.5d3,"5d3",4F<3/2>,5d2 3F<2>,646,4,L8672c99,"0","1"
"95",Am XXVI,"25",Yb,[Xe].4f14.5d2,"5d2",3F<2>,5d 2D<3/2>,680,4,L8672c99,"0","1"
"95",Am XXVII,"26",Tm,[Xe].4f14.5d,5d,2D<3/2>,4f14 1S<0>,711,4,L8672c99,"0","1"
